Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-04-04 11:01:54 IST","2018-04-04 11:01:54 IST","2018-04-04 11:01:54 IST","2018-03-28 06:13:22 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Google Drive/.",,,,
"[parent folder]","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-27 14:48:58 IST",256,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Google Drive/..",,,,
.tmp.drivedownload,"2018-04-04 11:02:04 IST","2018-04-04 11:02:04 IST","2018-04-04 11:02:04 IST","2018-04-01 01:39:54 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Google Drive/.tmp.drivedownload",,,,
"Brother Chat.gdoc","2018-04-06 12:50:00 IST","2018-04-06 12:51:28 IST","2018-04-06 12:50:00 IST","2018-04-01 01:39:54 IST",178,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Google Drive/Brother Chat.gdoc","9eb42bf9159828639cc2f30214050e0f","09b278b3c798bdcc3e77ec5a10a3096b9b6c766e14e84655d54511ae5912da19",text/plain,gdoc
desktop.ini,"2018-03-28 06:13:36 IST","2018-03-28 06:13:36 IST","2018-03-28 06:13:36 IST","2018-03-28 06:13:22 IST",174,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Google Drive/desktop.ini","c2bd3408f8eb4b89983fcee3e1f7a54d","78fd0fd080fd6a716df1d06dd51c372b979aedc41e06d724b7a6770bc3bf25c0",text/x-ini,ini
"Operation 2nd Hand Smoke.pptx","2018-04-04 10:41:27 IST","2018-04-04 11:02:04 IST","2018-04-04 11:01:54 IST","2018-04-04 11:01:54 IST",4408968,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Google Drive/Operation 2nd Hand Smoke.pptx","b301fbf4104fb64b566b076c12a5d113","7b08d680f342f3d28a79c2a324bfd0576586958992cd738319aec3ccd5d1e129","application/vnd.openxmlformats-officedocument.presentationml.presentation",pptx
"The Cloudy Manifesto.docx","2018-04-02 07:05:27 IST","2018-04-02 07:06:35 IST","2018-04-02 07:06:28 IST","2018-04-02 07:06:28 IST",816313,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Google Drive/The Cloudy Manifesto.docx","14c07920ddc81fbd489e61d60e5c9f28","fee91c8bafb9fb51574b11bfeed5a08b89e7bb90e874c07d95562c76380f2c65","application/vnd.openxmlformats-officedocument.wordprocessingml.document",docx
