Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-03-27 15:06:33 IST","2018-03-27 15:06:33 IST","2018-03-27 15:06:33 IST","2017-09-29 14:15:11 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/.",,,,
"[parent folder]","2018-04-04 11:29:44 IST","2018-04-04 11:29:44 IST","2018-04-04 11:29:44 IST","2017-09-29 14:15:11 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/..",,,,
"All Users","2017-09-29 19:45:26 IST","2018-03-27 18:40:53 IST","2017-09-29 19:45:26 IST","2017-09-29 19:45:26 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/All Users",,,,
Default,"2018-03-27 17:43:21 IST","2018-03-27 17:43:21 IST","2018-03-27 17:43:21 IST","2017-09-29 14:15:11 IST",336,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/Default",,,,
"Default User","2017-09-29 19:45:26 IST","2018-03-27 18:40:53 IST","2017-09-29 19:45:26 IST","2017-09-29 19:45:26 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/Default User",,,,
jcloudy,"2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-27 14:48:58 IST",256,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy",,,,
Public,"2018-03-27 14:50:00 IST","2018-03-27 14:50:00 IST","2018-03-27 14:50:00 IST","2017-09-29 19:16:33 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/Public",,,,
desktop.ini,"2017-09-29 19:14:24 IST","2018-03-27 18:37:58 IST","2017-09-29 19:14:24 IST","2017-09-29 19:16:38 IST",174,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/desktop.ini","6b1a6a9959ce35fa0df98f8e602bb191","8f6c28c6f4ef09a335123af11dfd7a45ffdec661acdef2c151e871a7e060e71e",text/x-ini,ini
