Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
Recent,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Recent",,,,
"Saved Games","2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:48:58 IST",152,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Saved Games",,,,
Searches,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:51:07 IST","2018-03-27 14:50:00 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Searches",,,,
SendTo,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/SendTo",,,,
"Start Menu","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Start Menu",,,,
Templates,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",48,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Templates",,,,
Videos,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:48:58 IST",152,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Videos",,,,
NTUSER.DAT,"2018-03-28 03:15:21 IST","2018-03-27 14:48:58 IST","2018-03-28 03:15:21 IST","2018-03-27 14:48:58 IST",2359296,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/NTUSER.DAT","da9798b0c6209d440a17b32aad556697","e46bc2eb6384afa811ca1764b86f14a92bc72617e706b5feb76db7974c4b613c","application/x.windows-registry",dat
ntuser.dat.LOG1,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",135168,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/ntuser.dat.LOG1","7c4a12539e378ed47f389f51a41182aa","a276ab46528af60e0cf5e5123bfa8f1cc116ea51faf69f25967f32a6a96c7570","application/x.windows-registry",log1
ntuser.dat.LOG2,"2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",651264,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/ntuser.dat.LOG2","31aa6bdda66ea0198596147ac0ca4836","476eed0c8c88c3dcfaa6df483d63d2326cade1d85b93ab8144fc19226eaf1df9","application/x.windows-registry",log2
"NTUSER.DAT{3869c002-31b8-11e8-9b12-ec0ec4207f0e}.TM.blf","2018-03-27 14:49:57 IST","2018-03-27 14:49:57 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",65536,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/NTUSER.DAT{3869c002-31b8-11e8-9b12-ec0ec4207f0e}.TM.blf","1a4f86c0d309b11a51fba0d49e08f45d","22425f4c510d7e6dcfa1ce4f05afc738610e62aabfcaa4aaeb2d0e26c8b854fb",application/octet-stream,blf
"NTUSER.DAT{3869c002-31b8-11e8-9b12-ec0ec4207f0e}.TMContainer00000000000000000001.regtrans-ms","2018-03-27 14:49:57 IST","2018-03-27 14:49:57 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",524288,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/NTUSER.DAT{3869c002-31b8-11e8-9b12-ec0ec4207f0e}.TMContainer00000000000000000001.regtrans-ms","dfb2c5d9a9b89de8b2f383fc3fb1d22a","2d358e4da1f4aa74df219a2c7532a58d9ea9bb156e74313486c1ae84875b777a",application/octet-stream,regtrans-ms
"NTUSER.DAT{3869c002-31b8-11e8-9b12-ec0ec4207f0e}.TMContainer00000000000000000002.regtrans-ms","2018-03-27 14:49:57 IST","2018-03-27 14:49:57 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",524288,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/NTUSER.DAT{3869c002-31b8-11e8-9b12-ec0ec4207f0e}.TMContainer00000000000000000002.regtrans-ms","59071590099d21dd439896592338bf95","07854d2fef297a06ba81685e660c332de36d5d18d546927d30daad6d7fda1541",application/octet-stream,regtrans-ms
ntuser.ini,"2018-03-27 14:48:58 IST","2018-03-27 14:49:58 IST","2018-03-27 14:48:58 IST","2018-03-27 14:48:58 IST",20,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/ntuser.ini","6fc234ad3752e1267b34fb12bcd6718b","5ad8f52071d25165e7e68064ab194ec27a074a3846149ed0689af23e7f7f2d00",text/x-ini,ini
Recent,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Recent","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,
