Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
Huckleberry.png,"2018-03-31 09:53:25 IST","2018-04-02 06:42:46 IST","2018-03-31 09:53:16 IST","2018-03-31 09:53:25 IST",306471,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/Huckleberry.png","33743a24bdff989a72b65e76b7c762fc","15ebd6a63d771ebe4da41c947ffb3431fc4dfedf9ad85e582a16f5e3c082bac2",image/png,png
"Huckleberry.png:Zone.Identifier","2018-03-31 09:53:25 IST","2018-04-02 06:42:46 IST","2018-03-31 09:53:16 IST","2018-03-31 09:53:25 IST",217,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/Huckleberry.png:Zone.Identifier","39befe0499e898c13491e360e046318d","03ea1abe9b9aeb274c11bc53867d13689757a523183ec30ed585e118206e6103",text/plain,png
"Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html","2018-04-05 07:50:17 IST","2018-04-05 07:50:17 IST","2018-03-30 09:59:51 IST","2018-03-30 09:59:48 IST",289380,Unallocated,Unallocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html",,,,html
LeftUsesBoycotts.pdf,"2018-04-06 09:26:37 IST","2018-04-06 09:26:43 IST","2018-04-06 09:26:33 IST","2018-04-06 09:26:31 IST",1470817,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/LeftUsesBoycotts.pdf","1822aa3999e889942938c5f9bb4f2908","2abe281c71d0daf916533ab2fd057c375134bbba423dbf89f2e681c76235e7c6",application/pdf,pdf
MyTiredHead.jpg,"2018-03-30 09:01:11 IST","2018-04-02 06:42:46 IST","2018-03-30 09:00:58 IST","2018-03-30 09:01:10 IST",107830,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/MyTiredHead.jpg","049566a023c270ec75353c15b12ffdac","b581e64862f38b248d32880dcfde49c4a7a61486067a19f38a82d29456813cd3",image/jpeg,jpg
"MyTiredHead.jpg:Zone.Identifier","2018-03-30 09:01:11 IST","2018-04-02 06:42:46 IST","2018-03-30 09:00:58 IST","2018-03-30 09:01:10 IST",125,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/MyTiredHead.jpg:Zone.Identifier","14aae472002c63dad6af867ef6c82ef9","d6e9d2920a47f260182b8987d89f6c26fa1aee3adec2856ef81c7b21bf1dbed5",text/plain,jpg
"Operation 2nd Hand Smoke.pptx","2018-04-04 10:41:27 IST","2018-04-04 10:41:53 IST","2018-04-04 10:41:27 IST","2018-04-04 10:26:19 IST",4408968,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/Operation 2nd Hand Smoke.pptx","b301fbf4104fb64b566b076c12a5d113","7b08d680f342f3d28a79c2a324bfd0576586958992cd738319aec3ccd5d1e129","application/vnd.openxmlformats-officedocument.presentationml.presentation",pptx
Planning.docx,"2018-04-04 11:00:41 IST","2018-04-04 11:00:49 IST","2018-04-04 11:00:41 IST","2018-03-30 07:46:48 IST",14060,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/Planning.docx","4ef414e469b7830faa2db429fe1321ee","0d87fa0cb21fd3cd3e2eab41149e611593f0c6a5224ed264cd5632692c126e12","application/vnd.openxmlformats-officedocument.wordprocessingml.document",docx
RedGuns.jpg,"2018-03-31 09:46:59 IST","2018-04-02 06:42:46 IST","2018-03-31 09:46:48 IST","2018-03-31 09:46:59 IST",122915,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/RedGuns.jpg","d34ecf2d775e806cfdfcdcbf7aa1d0a9","4c6f8d2606152e6921bee1ef80ce19d60d9f3caa6044429597ad5449e3d052c8",image/jpeg,jpg
"RedGuns.jpg:Zone.Identifier","2018-03-31 09:46:59 IST","2018-04-02 06:42:46 IST","2018-03-31 09:46:48 IST","2018-03-31 09:46:59 IST",206,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Desktop/RedGuns.jpg:Zone.Identifier","1a978099ef7d75c728a5c0064f0f1a2a","9596fe31f5356d6c39792583a8e783b9b2854d5d9c0db432251defac3754cb07",text/plain,jpg
