Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-04-05 07:41:14 IST","2018-04-05 07:41:14 IST","2018-04-05 07:41:14 IST","2018-03-28 06:23:56 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/.",,,,
"[parent folder]","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-28 06:23:56 IST","2018-03-27 14:48:58 IST",256,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/..",,,,
Desktop,"2018-04-05 07:51:13 IST","2018-04-05 07:51:13 IST","2018-04-05 07:51:13 IST","2018-04-05 07:41:14 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/Desktop",,,,
desktop.ini,"2018-03-28 06:23:57 IST","2018-03-28 06:23:57 IST","2018-03-28 06:23:57 IST","2018-03-28 06:23:57 IST",88,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/desktop.ini","296d9097bb978e121df794c9109cff8d","013690c212290f84f7015390e75f7a0678d4fc414e146cfc59ac70ae8c894f9e",text/x-ini,ini
"The Cloudy Manifesto.docx","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Box Sync/The Cloudy Manifesto.docx","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,docx
