Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"bf28986c-0241-47b8-967a-e164c4622e01.tmp","2018-03-30 10:02:30 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:30 IST","2018-03-30 10:02:30 IST",43,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/bf28986c-0241-47b8-967a-e164c4622e01.tmp","fb02f374b8f73825415db1bccd4bd76d","caa849b179befa2645a8e2c474d2e82a76777a3305315ece911013e8ee9a916c",image/gif,tmp
BoxSyncSetup.exe,"2018-03-28 05:48:53 IST","2018-03-28 06:14:00 IST","2018-03-28 05:48:16 IST","2018-03-28 05:48:16 IST",36220912,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/BoxSyncSetup.exe","d17afe82b6eb2aeeb354174eeb778419","6baf6e1972ee704bbda53df08945b6cfc309274b589bc39a1030dd297eb6131f",application/x-dosexec,exe
"d6c5abfc-aa43-4f2d-82e0-578b0196e211.tmp","2018-03-30 10:02:26 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:26 IST","2018-03-30 10:02:26 IST",35943,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/d6c5abfc-aa43-4f2d-82e0-578b0196e211.tmp","de39a19dfc75359d8eb0727ce0fa486b","f8ef655ef916e39713ede9c6db56d7ca5618bd82cf5ac991dcd013f05e0fdfc7",text/plain,tmp
"d96018d4-11e6-4e83-b1b3-8a657c3aedab.tmp","2018-03-30 10:02:30 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:30 IST","2018-03-30 10:02:30 IST",43,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/d96018d4-11e6-4e83-b1b3-8a657c3aedab.tmp","fb02f374b8f73825415db1bccd4bd76d","caa849b179befa2645a8e2c474d2e82a76777a3305315ece911013e8ee9a916c",image/gif,tmp
"dd23da31-142c-446c-946c-d0f77c9ea164.tmp","2018-03-30 10:02:26 IST","2018-04-05 07:50:17 IST","2018-03-30 10:02:26 IST","2018-03-30 10:02:26 IST",418,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/dd23da31-142c-446c-946c-d0f77c9ea164.tmp","b1cf3033a44c2a35d7c41d2dae765d28","a6adc14e1d63bbcbbeec6bc467133e1c51fa1674ff436b4ecff85fbfec07ef94",text/plain,tmp
DemGun.jpg,"2018-03-30 04:47:52 IST","2018-04-06 13:59:21 IST","2018-03-30 04:47:40 IST","2018-03-30 04:47:51 IST",124847,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/DemGun.jpg","1905922726ea9910790a288e93391e9b","adf3ad43f66396d9e9cf45593ea0a6138378f2225ada0dd09ccf4897e9651890",image/jpeg,jpg
DemGun.jpg,"2018-04-06 13:59:21 IST","2018-04-06 13:59:21 IST","2018-03-30 04:47:40 IST","2018-03-30 04:47:51 IST",124847,Unallocated,Unallocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/DemGun.jpg",,,,jpg
"DemGun.jpg:Zone.Identifier","2018-03-30 04:47:52 IST","2018-04-06 13:59:21 IST","2018-03-30 04:47:40 IST","2018-03-30 04:47:51 IST",159,Unallocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/DemGun.jpg:Zone.Identifier","ecea2edff7cee6053b96115b331f9d5f","f1fb7e36b8bd60ca0e32e90b5a6d6f140e36952bde0fa1544229858bd1338513",text/plain,jpg
desktop.ini,"2018-03-27 15:26:47 IST","2018-03-27 15:26:47 IST","2018-03-27 14:50:00 IST","2018-03-27 14:50:00 IST",282,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/desktop.ini","3a37312509712d4e12d27240137ff377","b029393ea7b7cf644fb1c9f984f57c1980077562ee2e15d0ffd049c4c48098d3",text/x-ini,ini
DropboxInstaller.exe,"2018-03-28 05:33:16 IST","2018-03-28 05:33:19 IST","2018-03-28 05:33:13 IST","2018-03-28 05:33:13 IST",690080,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/Downloads/DropboxInstaller.exe","daaf81445ee7c74984bcc2c9be300653","7eb5e5d9ffbae5afb4974e340a484be5a9379ee5662c0a7bd99ebbede58ff057",application/x-dosexec,exe
