Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2018-04-03 12:07:38 IST","2018-04-03 12:07:38 IST","2018-04-03 12:07:38 IST","2018-03-27 15:20:13 IST",256,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/.",,,,
"[parent folder]","2018-04-05 07:51:38 IST","2018-04-05 07:51:38 IST","2018-04-05 07:51:38 IST","2018-03-27 14:51:44 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/..",,,,
Screenshots,"2018-04-04 10:38:44 IST","2018-04-04 10:38:44 IST","2018-04-04 10:38:44 IST","2018-04-03 12:07:38 IST",56,Allocated,Allocated,unknown,"/img_LoneWolf.E01/vol_vol7/Users/jcloudy/OneDrive/Pictures/Screenshots",,,,
